cabin	n.小屋,船舱
cabinet	n.(有抽屉或格子的)橱柜,<美>内阁;adj.<美>内阁的,小巧的
cable	n.电缆,海底电报,缆,索;v.打(海底)电报
cafeteria	n.自助餐厅
calcium	n.[化]钙(元素符号Ca)
calorie	n.卡路里
cancel	vt.取消,删去
cancer	n.癌,毒瘤
candidate	n.候选人,投考者
cane	n.细长的茎,藤条;vt.以杖击,以藤编制
cannon	n.大炮,加农炮;v.炮轰
canon	n.教会法教规,教规,(基督教的)正典圣经(简称正经),一个作家的真作;日本佳能公司
canvas	v.彻底讨论探究;n.帆布
capable	adj.有能力的,能干的,有可能的,可以...的
capacity	n.容量,生产量,容量,智能,才能,能力,接受力,地位
cape	n.海角,岬
capsule	n.(植物)蒴果,胶囊,瓶帽,太空舱
caption	n.标题，说明,字幕;vt.加上标题,加上说明
captive	n.俘虏,被美色或爱情迷住的人;adj.被俘的,被迷住的
cardinal	n.枢机主教,红衣主教;adj.主要的,最重要的
carve	v.雕刻,切开
cast	n.投掷,铸件,脱落物,一瞥,演员表;v.投,抛,投射,浇铸,计算,派(角色)
casual	adj.偶然的,不经意的,临时的
casualty	n.伤亡
catastrophe	n.大灾难,大祸
cater	vi.备办食物,满足(需要),投合
cathedral	n.大教堂
catholic	n.天主教徒;adj.天主教的
caution	n.小心,谨慎,警告;vt.警告
cautious	adj.谨慎的,小心的
cavity	n.洞,空穴,[解剖]腔
cellar	n.地窖,地下室,酒窖,藏酒量
cemetery	n.墓地,公墓
census	n.人口普查
ceramic	adj.陶器的;n.陶瓷制品
cereal	n.谷类食品,谷类
certainty	n.确定,确实的事情
certify	v.证明,保证
challenge	n.挑战;vt.向...挑战
champagne	n.香槟酒,香槟色
champion	n.冠军,拥护者,战士;vt.拥护,支持
chant	n.圣歌
chapel	n.小礼拜堂,礼拜
character	n.(事物的)特性,性质,特征(的总和),(人的)品质,字符,性格,特征,人物;vt.写,刻,印,使具有特征
characteristic	adj.特有的,表示特性的,典型的;n.特性,特征
characterize	vt.表现...的特色,刻画的...性格
charge	n.负荷,电荷,费用,主管,掌管,充电,充气,装料;v.装满,控诉,责令,告诫,指示,加罪于,冲锋,收费
chase	n.追赶,追击;vt.追赶,追逐,雕镂
cherish	vt.珍爱,怀抱(希望等)
chief	n.首领,领袖,酋长,长官,主要部分,最有价值的部分;adj.主要的,首要的,首席的,主任的
chip	n.碎片,筹码;v.削成碎片,碎裂;芯片
cholesterol	n.胆固醇
chord	n.弦,和音,情绪;n.[解]腱
chorus	n.合唱,合唱队,齐声
chronic	adj.慢性的,延续很长的
chunk	n.大块,矮胖的人或物
circulation	n.循环,流通,发行额
circumstance	n.环境,详情,境况
circus	n.马戏团,杂技团,马戏场,杂技场
cite	vt.引用,引证,提名表扬
claim	n.(根据权利提出)要求,要求权,主张,要求而得到的东西;vt.(根据权利)要求,认领,声称,主张,需要
clamp	n.夹子,夹具,夹钳;vt.夹住,夹紧
clan	n.部落,氏族,宗族,党派
clarity	n.清楚,透明
clash	n.冲突,撞击声,抵触;v.(使)发出撞击声,猛撞,冲突
clasp	n.扣子,钩,紧握,抱住;v.扣紧,紧握,搂抱,密切合作
classic	n.杰作,名著;adj.第一流的
classical	adj.古典的,正统派的,古典文学的
classification	n.分类,分级
clearance	n.清除
clerk	n.职员,办事员,<美>店员
client	n.[计]顾客,客户,委托人
cliff	n.悬崖,绝壁
climate	n.气候,风土,思潮
climax	n.高潮,顶点
cling	vi.粘紧,附着,紧贴,坚持(意见),墨守(习惯)
clip	n.夹子,回形针,子弹夹;vt.夹住,剪短,修剪
clockwise	adj.顺时针方向的;adv.顺时针方向地
clone	n.无性系,无性繁殖,克隆;v.无性繁殖,复制
closet	n.壁橱,储藏室,厕所;adj.关起门来的;vt.关入私室密谈
clue	n.线索
cluster	n.串,丛;vi.丛生,成群
clutch	v.抓住,攫住;n.离合器
coalition	n.合并,接合,联合
coarse	adj.粗糙的,粗鄙的
cocaine	n.古柯碱,可卡因
cocktail	n.鸡尾酒,(第一道用杯盛的)开味食品;adj.鸡尾酒的
cognitive	adj.认知的,认识的,有感知的
coherent	adj.粘在一起的,一致的,连贯的
coincide	vi.一致,符合
coincidence	n.一致,相合,同时发生或同时存在(尤指偶然)的事
collaboration	n.协作,通敌
collapse	n.倒塌,崩溃,失败,虚脱;vi.倒塌,崩溃,瓦解,失败,病倒
colleague	n.同事,同僚
collide	vi.碰撞,抵触
collision	n.碰撞,冲突
colonial	adj.殖民的,殖民地的n.殖民地居民
combat	n.战斗,格斗;v.战斗,搏斗,抗击
combination	n.结合,联合,合并,化合,化合物
combine	v.(使)联合,(使)结合;n.联合企业,联合收割机;n.联合收割机
comet	n.彗星
comic	n.滑稽演员;adj.滑稽的,喜剧的
command	n.命令,掌握,司令部;v.命令,指挥,克制,支配,博得,俯临
commemorate	vt.纪念
commence	v.开始,着手
commend	vt.称赞,表扬,推荐,委托,吸引
commentary	n.注释,解说词
commercial	adj.商业的,贸易的
commission	n.委任,委托,代办(权),代理(权),犯(罪),佣金;vt.委任,任命,委托,委托制作,使服役
commit	vt.犯(错误),干(坏事),把...交托给,提交,答应负责
commitment	n.委托事项,许诺,承担义务
committee	n.委员会
commodity	n.日用品
commonplace	n.平凡的事,平常话;adj.平凡的
commonwealth	n.国民整体,共和国,联邦
communicate	v.沟通,通信,(房间、道路、花园等)相通,传达,感染
communication	n.传达,信息,交通,通讯
community	n.公社,团体,社会,(政治)共同体,共有,一致,共同体,(生物)群落
commute	v.交换,抵偿,减刑,<电工>整流
compact	adj.紧凑的,紧密的,简洁的;n.契约,合同,小粉盒
companion	n.同伴,共事者
comparable	adj.可比较的,比得上的
compare	v.比较,相比,比喻n.比较
comparison	n.比较,对照,比喻,比较关系
compartment	n.间隔间,车厢
compatible	adj.谐调的,一致的,兼容的
compel	vt.强迫,迫使
compensate	v.偿还,补偿,付报酬
compete	vi.比赛,竞争
competence	n.能力
competitive	adj.竞争的
compile	vt.编译,编辑,汇编
complain	v.抱怨,悲叹,控诉
complaint	n.诉苦,抱怨,牢骚,委屈,疾病
complement	n.补足物,[文法]补语,[数]余角;vt.补助,补足
complex	adj.复杂的,合成的,综合的;n.联合体
complexion	n.面色,肤色,情况,局面
complicated	adj.复杂的,难解的
complication	n.复杂化,(使复杂的)因素;n.[医]并发症
compliment	n.称赞,恭维,致意,问候,道贺;vt.称赞,褒扬,恭维
comply	vi.顺从,答应,遵守
component	n.成分;adj.组成的,构成的
compose	v.组成,写作,排字,(使)安定,调解
composite	adj.合成的,复合的;n.合成物
compound	n.混合物,[化]化合物;adj.复合的;v.混合,配合
comprehension	n.理解,包含
comprehensive	adj.全面的,广泛的,能充分理解的,包容的
compromise	n.妥协,折衷;v.妥协,折衷,危及...的安全
compulsory	adj.必需做的,必修的,被强迫的,被强制的,义务的
compute	v.计算,估计,用计算机计算(或确定)
concede	vt.勉强,承认,退让;vi.让步
conceive	vt.构思,以为,持有;vi.怀孕,考虑,设想
concentrate	v.集中,浓缩
concentration	n.集中,集合,专心,浓缩,浓度
concept	n.观念,概念
conception	n.观念,概念
concern	vt.涉及,关系到;n.(利害)关系,关心,关注,关注,所关心的是
concise	adj.简明的,简练的
conclude	v.结束,终止,决定,作出结论;vt.推断,断定,缔结,议定
condemn	vt.判刑,处刑,声讨,谴责
condense	v.(使)浓缩,精简
conduct	n.行为,操行;v.引导,管理,为人,传导
confer	vt.授予(称号、学位等),赠与,把...赠与,协议;v.协商,交换意见
conference	n.会议,讨论会,协商会
confidence	n.信心
confident	adj.自信的,确信的
confidential	adj.秘密的,机密的
configuration	n.构造,结构,配置,外形
